transaction_id,customer_id,merchant_id,amount,timestamp,payment_method,merchant_category,customer_account_age_days,is_new_device,ip_risk_score,location,distance_from_usual_location,failed_attempts_last_24h,transactions_last_1h,transactions_last_24h,avg_transaction_amount,transaction_amount_deviation,previous_chargebacks,previous_fraud_flags,merchant_risk_score,account_velocity,hour_of_day,day_of_week,label
TXN-0000103,4025,105,814.95,2025-01-02 01:30:00,CARD,Electronics,2359,1,0.1142,Delhi,4.1,0,2,6,987.13,0.826,0,0,0.2161,0.3333,1,3,0
TXN-0000104,37,424,5234.82,2025-01-02 01:45:00,UPI,Electronics,213,0,0.2066,Delhi,7.62,0,1,8,1595.68,3.281,0,0,0.0774,0.125,1,3,0
TXN-0000105,3985,472,766.34,2025-01-02 02:00:00,UPI,Healthcare,2265,0,0.1242,Chennai,23.72,0,2,6,2746.02,0.279,0,0,0.0717,0.3333,2,3,0
TXN-0000106,3935,259,306.93,2025-01-02 02:15:00,UPI,Gaming,728,0,0.2669,Bengaluru,2.88,0,0,3,9678.87,0.032,0,1,0.2212,0.0,2,3,0
TXN-0000107,3902,262,586.13,2025-01-02 02:30:00,CARD,Grocery,2413,0,0.0722,Hyderabad,0.89,0,0,5,626.97,0.935,0,0,0.1666,0.0,2,3,0
TXN-0000108,3325,283,7637.74,2025-01-02 02:45:00,NETBANKING,Fashion,1941,0,0.1948,Delhi,14.35,1,0,8,2332.91,3.274,0,2,0.1944,0.0,2,3,0
TXN-0000109,2358,37,6285.57,2025-01-02 03:00:00,NETBANKING,Grocery,2435,0,0.0613,Bengaluru,22.41,0,3,9,1280.61,4.908,0,0,0.2006,0.3333,3,3,1
TXN-0000110,3526,430,241.85,2025-01-02 03:15:00,CARD,Grocery,469,0,0.1388,Hyderabad,8.58,0,1,9,1748.78,0.138,1,0,0.3664,0.1111,3,3,0
TXN-0000111,1386,369,4061.35,2025-01-02 03:30:00,WALLET,Electronics,1845,0,0.153,Pune,4.91,0,0,7,2724.07,1.491,0,1,0.2557,0.0,3,3,0
TXN-0000112,3904,435,248.04,2025-01-02 03:45:00,UPI,Healthcare,1857,0,0.3242,Bengaluru,18.77,0,4,10,1040.06,0.238,0,0,0.1174,0.4,3,3,0
TXN-0000113,2779,58,1751.65,2025-01-02 04:00:00,CARD,Grocery,2251,0,0.3318,Hyderabad,15.18,0,2,5,6912.47,0.253,0,0,0.4138,0.4,4,3,0
TXN-0000114,2295,402,537.96,2025-01-02 04:15:00,CARD,Grocery,1922,0,0.3223,Bengaluru,10.91,0,2,5,4435.65,0.121,1,0,0.1081,0.4,4,3,0
TXN-0000115,2529,182,4386.66,2025-01-02 04:30:00,UPI,Travel,231,0,0.0317,Bengaluru,11.42,0,1,6,1040.29,4.217,0,0,0.258,0.1667,4,3,0
TXN-0000116,2844,410,3134.43,2025-01-02 04:45:00,CARD,Fashion,2200,0,0.2953,Delhi,13.45,0,1,9,4706.51,0.666,0,0,0.2454,0.1111,4,3,0
TXN-0000117,187,497,4794.0,2025-01-02 05:00:00,CARD,Grocery,683,0,0.1056,Pune,10.45,1,1,10,1453.05,3.299,0,0,0.4193,0.1,5,3,0
TXN-0000118,699,440,1339.84,2025-01-02 05:15:00,CARD,Healthcare,2418,0,0.2724,Chennai,4.44,0,3,10,2609.83,0.513,0,0,0.5272,0.3,5,3,0
TXN-0000119,1228,458,1486.55,2025-01-02 05:30:00,UPI,Grocery,1929,0,0.0479,Bengaluru,12.24,0,2,7,731.94,2.031,1,0,0.1579,0.2857,5,3,0
TXN-0000120,573,57,401.94,2025-01-02 05:45:00,UPI,Fashion,1869,1,0.1523,Chennai,2.19,0,2,9,571.82,0.703,0,0,0.4798,0.2222,5,3,0
TXN-0000121,2199,165,642.3,2025-01-02 06:00:00,NETBANKING,Electronics,1606,0,0.0972,Hyderabad,6.09,0,1,4,1529.93,0.42,0,0,0.4427,0.25,6,3,0
TXN-0000122,3343,147,4647.46,2025-01-02 06:15:00,UPI,Fashion,1690,0,0.0405,Hyderabad,2.63,0,1,6,916.21,5.072,0,0,0.5523,0.1667,6,3,0
TXN-0000123,3273,257,2598.8,2025-01-02 06:30:00,UPI,Grocery,1416,0,0.2381,Mumbai,3.51,0,3,5,990.19,2.625,0,0,0.1976,0.6,6,3,0
TXN-0000124,2356,489,1997.95,2025-01-02 06:45:00,UPI,Grocery,1960,0,0.1805,Hyderabad,4.19,0,1,2,864.92,2.31,0,1,0.0936,0.5,6,3,0
TXN-0000125,4276,343,6359.19,2025-01-02 07:00:00,UPI,Gaming,2305,0,0.0793,Mumbai,8.99,1,1,6,1948.89,3.263,0,2,0.1734,0.1667,7,3,0
TXN-0000126,2827,273,490.49,2025-01-02 07:15:00,CARD,Electronics,477,0,0.0392,Hyderabad,4.28,1,2,9,959.63,0.511,1,0,0.0521,0.2222,7,3,0
TXN-0000127,396,403,3698.53,2025-01-02 07:30:00,UPI,Travel,2083,0,0.0088,Chennai,1.15,1,1,8,1544.15,2.395,0,0,0.2659,0.125,7,3,0
TXN-0000128,3825,89,553.57,2025-01-02 07:45:00,CARD,Healthcare,1848,0,0.1017,Chennai,8.92,0,0,8,4797.64,0.115,0,0,0.1099,0.0,7,3,0
TXN-0000129,2874,331,7890.51,2025-01-02 08:00:00,UPI,Gaming,1460,1,0.153,Mumbai,1.55,1,3,8,1723.68,4.578,0,0,0.1579,0.375,8,3,0
TXN-0000130,3174,252,3102.66,2025-01-02 08:15:00,UPI,Travel,2273,0,0.3506,Mumbai,2.37,1,1,7,3127.98,0.992,0,0,0.1716,0.1429,8,3,0
TXN-0000131,2827,102,4722.26,2025-01-02 08:30:00,CARD,Electronics,2341,0,0.0595,Chennai,0.4,0,0,1,1832.55,2.577,1,0,0.0794,0.0,8,3,0
TXN-0000132,2768,323,892.38,2025-01-02 08:45:00,UPI,Fashion,1135,0,0.2318,Bengaluru,4.29,0,0,6,1140.64,0.782,0,0,0.4653,0.0,8,3,0
TXN-0000133,453,421,15956.8,2025-01-02 09:00:00,CARD,Electronics,174,0,0.2289,Pune,7.73,0,0,9,3438.42,4.641,0,1,0.1609,0.0,9,3,0
TXN-0000134,2797,415,13281.13,2025-01-02 09:15:00,UPI,Gaming,59,0,0.0626,Mumbai,2.7,1,0,4,17991.01,0.738,0,0,0.1264,0.0,9,3,0
TXN-0000135,3975,422,2768.11,2025-01-02 09:30:00,WALLET,Gaming,1537,0,0.2976,Pune,0.41,0,1,6,780.28,3.548,0,0,0.0089,0.1667,9,3,0
TXN-0000136,1520,407,5830.18,2025-01-02 09:45:00,UPI,Travel,845,0,0.4212,Hyderabad,2.02,0,1,5,2381.38,2.448,2,0,0.0645,0.2,9,3,0
TXN-0000137,3015,235,1330.96,2025-01-02 10:00:00,UPI,Electronics,564,1,0.5965,Mumbai,1.64,0,2,5,1193.19,1.115,0,0,0.3068,0.4,10,3,0
TXN-0000138,155,25,506.27,2025-01-02 10:15:00,UPI,Grocery,245,0,0.1755,Hyderabad,7.1,0,0,5,2495.53,0.203,0,0,0.0549,0.0,10,3,0
TXN-0000139,1738,483,3989.15,2025-01-02 10:30:00,CARD,Fashion,668,0,0.3227,Bengaluru,4.41,0,1,5,1685.75,2.366,0,0,0.2733,0.2,10,3,0
TXN-0000140,2184,227,717.83,2025-01-02 10:45:00,CARD,Gaming,1567,0,0.1671,Mumbai,7.03,0,3,7,3046.12,0.236,0,0,0.0341,0.4286,10,3,0
TXN-0000141,4914,317,6672.58,2025-01-02 11:00:00,UPI,Electronics,1987,0,0.3421,Pune,0.82,1,1,8,2054.46,3.248,1,0,0.2168,0.125,11,3,0
TXN-0000142,1073,11,5132.77,2025-01-02 11:15:00,UPI,Travel,2087,0,0.2252,Chennai,2.71,0,1,7,347.63,14.765,0,0,0.1108,0.1429,11,3,0
TXN-0000143,1383,445,2277.34,2025-01-02 11:30:00,UPI,Grocery,1653,0,0.0677,Hyderabad,60.67,0,1,6,1402.99,1.623,0,0,0.5542,0.1667,11,3,0
TXN-0000144,2043,445,2153.47,2025-01-02 11:45:00,UPI,Fashion,232,1,0.0243,Hyderabad,9.49,0,2,7,1465.77,1.469,0,0,0.3154,0.2857,11,3,0
TXN-0000145,4964,465,4840.78,2025-01-02 12:00:00,NETBANKING,Grocery,1754,0,0.096,Hyderabad,14.2,0,2,7,760.38,6.366,0,0,0.1015,0.2857,12,3,0
TXN-0000146,4268,87,2368.72,2025-01-02 12:15:00,UPI,Gaming,1071,0,0.0798,Pune,9.78,1,2,8,960.2,2.467,0,0,0.0318,0.25,12,3,0
